id.S	__typename.S	countOutside.N	createdAt.S	distance.N	distance_left_button_point.N	distance_questionary_point.N	distance_right_button_point.N	dt.N	element.S	epoch.N	height.N	isMouseDetected.BOOL	isPositionOutside.BOOL	isTouchDetected.BOOL	questionID.S	questionaryInteractionID.S	speed.N	speedAverage.N	sumDistance.N	sumTimeMiliseconds.N	sumTimeMilisecondsBeforeNextQuestion.N	type.S	updatedAt.S	width.N	x.N	y.N
e9e7e048-6706-44b6-8162-6e5e8fe0cb42	Interaction	0	2020-12-10T13:41:22.135Z	182.8879438344693	133.09395177843356	261.7728022541685	196.7587355112855	805	questionary	1607607679997	561.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0.22718999234095566	0.00010345512316564288	8.06225774829855	7830	0	position	2020-12-10T13:41:22.135Z	400	325	530
468b7026-e6e4-471a-a3b7-b5eda010e6eb	Interaction	0	2020-12-10T13:41:21.339Z	0	124.00403219250575	251.0019920239678	195.38935487891862	2	questionary	1607607680010	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.15623078317727745	201.7668554091598	8646	816	position	2020-12-10T13:41:21.339Z	400	319	521
683520a7-d03c-4d75-b27d-1de32d2bebed	Interaction	0	2020-12-10T13:41:21.164Z	182.8879438344693	133.09395177843356	261.7728022541685	196.7587355112855	805	questionary	1607607679997	561.796875	False	False	True	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0.22718999234095566	0.00010345512316564288	8.06225774829855	7830	0	position	2020-12-10T13:41:21.164Z	400	325	530
3dbeb3cb-cd73-435f-b7d8-38b9f6d514b9	Interaction	0	2020-12-10T13:41:22.285Z	0	257.9379770409933	258.68320393871727	391.44859177163994	5	questionary	1607607680985	585.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.13259314730160607	415.7037619961253	9618	963	position	2020-12-10T13:41:22.285Z	400	106	541
d2d5a4c0-e7b8-4459-abe5-5b2dbc01b149	Interaction	0	2020-12-10T13:41:20.256Z	0	203.94361965994426	211.74040710265956	340.57745080965066	5	questionary	1607607671372	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	5	5	position	2020-12-10T13:41:20.256Z	400	147	505
a8f48f9c-22b1-454f-85f7-e7e395024421	Interaction	0	2020-12-10T13:41:22.143Z	0	133.09395177843356	621.7113478134366	196.7587355112855	5	questionary	1607607680002	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.02074768577932837	190.95020158276785	8635	805	position	2020-12-10T13:41:22.143Z	0	325	530
4212ee75-7ffa-43a4-b1c6-5ed1864c7ef3	Interaction	0	2020-12-10T13:41:21.344Z	0	133.09395177843356	621.7113478134366	196.7587355112855	5	questionary	1607607680002	0	False	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.02074768577932837	190.95020158276785	8635	805	position	2020-12-10T13:41:21.344Z	0	325	530
95e42ce9-aa84-42f0-ac70-c82575a7a327	Interaction	0	2020-12-10T13:41:22.142Z	0	203.94361965994426	211.74040710265956	340.57745080965066	3	questionary	1607607671379	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0	0	14	14	position	2020-12-10T13:41:22.142Z	400	147	505
504c2c80-1c13-4766-b864-67a77d269f01	Interaction	0	2020-12-10T13:41:21.166Z	0	257.9379770409933	258.68320393871727	391.44859177163994	4	questionary	1607607680991	585.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.118635973901437	415.7037619961253	9625	970	position	2020-12-10T13:41:21.166Z	400	106	541
9f96cc92-a9c0-4e8f-8990-c5ebb2c3f601	Interaction	0	2020-12-10T13:41:20.340Z	0	211.0781845667619	219.52904135899652	346.63237009835075	5	questionary	1607607679180	561.796875	True	False	False	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	d08eac4d-48d3-4efb-ad71-e595e2bed2c1	0	0.00014779303309377554	8.06225774829855	7813	7796	position	2020-12-10T13:41:20.340Z	400	143	512
